Phi[deg],Theta[deg],RealizedGainTotal
-180,10,0.705892
-178,10,0.705842
-176,10,0.705827
-174,10,0.705836
-172,10,0.705861
-170,10,0.705893
-168,10,0.705925
-166,10,0.705949
-164,10,0.705958
-162,10,0.705946
-160,10,0.705908
-158,10,0.705841
-156,10,0.70574
-154,10,0.705604
-152,10,0.705433
-150,10,0.705225
-148,10,0.704983
-146,10,0.704709
-144,10,0.704408
-142,10,0.704083
-140,10,0.703741
-138,10,0.703388
-136,10,0.703032
-134,10,0.702682
-132,10,0.702346
-130,10,0.702034
-128,10,0.701757
-126,10,0.701524
-124,10,0.701347
-122,10,0.701237
-120,10,0.701203
-118,10,0.701257
-116,10,0.701409
-114,10,0.701669
-112,10,0.702048
-110,10,0.702553
-108,10,0.703195
-106,10,0.70398
-104,10,0.704915
-102,10,0.706008
-100,10,0.707263
-98,10,0.708686
-96,10,0.710279
-94,10,0.712045
-92,10,0.713985
-90,10,0.716101
-88,10,0.718392
-86,10,0.720856
-84,10,0.723489
-82,10,0.726289
-80,10,0.729251
-78,10,0.732369
-76,10,0.735635
-74,10,0.739042
-72,10,0.742581
-70,10,0.746243
-68,10,0.750016
-66,10,0.75389
-64,10,0.757852
-62,10,0.76189
-60,10,0.765991
-58,10,0.770141
-56,10,0.774326
-54,10,0.778532
-52,10,0.782745
-50,10,0.786951
-48,10,0.791134
-46,10,0.795283
-44,10,0.799382
-42,10,0.803418
-40,10,0.807381
-38,10,0.811256
-36,10,0.815034
-34,10,0.818703
-32,10,0.822255
-30,10,0.825682
-28,10,0.828975
-26,10,0.832129
-24,10,0.835137
-22,10,0.837997
-20,10,0.840704
-18,10,0.843256
-16,10,0.845652
-14,10,0.847891
-12,10,0.849973
-10,10,0.8519
-8,10,0.853674
-6,10,0.855295
-4,10,0.856767
-2,10,0.858093
0,10,0.859276
2,10,0.860319
4,10,0.861226
6,10,0.861999
8,10,0.862642
10,10,0.863159
12,10,0.863551
14,10,0.863822
16,10,0.863975
18,10,0.86401
20,10,0.863931
22,10,0.863738
24,10,0.863433
26,10,0.863018
28,10,0.862492
30,10,0.861857
32,10,0.861113
34,10,0.860261
36,10,0.859301
38,10,0.858234
40,10,0.857059
42,10,0.855778
44,10,0.854391
46,10,0.852898
48,10,0.851301
50,10,0.849601
52,10,0.847799
54,10,0.845896
56,10,0.843895
58,10,0.841796
60,10,0.839604
62,10,0.837319
64,10,0.834945
66,10,0.832486
68,10,0.829943
70,10,0.827322
72,10,0.824625
74,10,0.821857
76,10,0.819022
78,10,0.816124
80,10,0.813168
82,10,0.810159
84,10,0.807102
86,10,0.804002
88,10,0.800865
90,10,0.797694
92,10,0.794497
94,10,0.791279
96,10,0.788044
98,10,0.7848
100,10,0.781552
102,10,0.778305
104,10,0.775066
106,10,0.771841
108,10,0.768635
110,10,0.765455
112,10,0.762307
114,10,0.759195
116,10,0.756128
118,10,0.75311
120,10,0.750148
122,10,0.747247
124,10,0.744413
126,10,0.741652
128,10,0.738969
130,10,0.73637
132,10,0.733859
134,10,0.731443
136,10,0.729125
138,10,0.72691
140,10,0.724801
142,10,0.722803
144,10,0.720918
146,10,0.719149
148,10,0.717497
150,10,0.715965
152,10,0.714552
154,10,0.713258
156,10,0.712084
158,10,0.711026
160,10,0.710084
162,10,0.709252
164,10,0.708529
166,10,0.707908
168,10,0.707384
170,10,0.706951
172,10,0.706603
174,10,0.70633
176,10,0.706127
178,10,0.705984
180,10,0.705892
-180,12,0.690256
-178,12,0.690323
-176,12,0.690422
-174,12,0.690537
-172,12,0.690654
-170,12,0.690759
-168,12,0.690838
-166,12,0.690877
-164,12,0.690867
-162,12,0.690795
-160,12,0.690654
-158,12,0.690436
-156,12,0.690136
-154,12,0.68975
-152,12,0.689278
-150,12,0.68872
-148,12,0.688078
-146,12,0.687356
-144,12,0.686562
-142,12,0.685703
-140,12,0.684789
-138,12,0.683831
-136,12,0.682843
-134,12,0.681839
-132,12,0.680833
-130,12,0.679841
-128,12,0.678881
-126,12,0.677968
-124,12,0.677121
-122,12,0.676356
-120,12,0.67569
-118,12,0.675142
-116,12,0.674726
-114,12,0.674459
-112,12,0.674355
-110,12,0.67443
-108,12,0.674696
-106,12,0.675165
-104,12,0.675849
-102,12,0.676756
-100,12,0.677896
-98,12,0.679276
-96,12,0.680901
-94,12,0.682776
-92,12,0.684903
-90,12,0.687284
-88,12,0.689918
-86,12,0.692804
-84,12,0.695938
-82,12,0.699317
-80,12,0.702933
-78,12,0.706779
-76,12,0.710846
-74,12,0.715123
-72,12,0.719597
-70,12,0.724257
-68,12,0.729086
-66,12,0.73407
-64,12,0.739191
-62,12,0.744431
-60,12,0.749771
-58,12,0.755192
-56,12,0.760674
-54,12,0.766195
-52,12,0.771735
-50,12,0.777273
-48,12,0.782787
-46,12,0.788258
-44,12,0.793664
-42,12,0.798987
-40,12,0.804208
-38,12,0.80931
-36,12,0.814276
-34,12,0.819091
-32,12,0.823743
-30,12,0.828219
