"Freq [GHz]","Theta [deg]","Phi [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []","dB(RealizedGainTotal) []"
2,90,-62,-7.29114405208035,-26.8332664836356,-7.24315189718278
2,90,-61,-7.37377588480335,-26.4066982186395,-7.31985052888543
2,90,-60,-7.46357394698338,-26.0466539223091,-7.4038037924645
2,90,-59,-7.56052232494018,-25.7494289131652,-7.49511607708805
2,90,-58,-7.66457750042773,-25.5123724938336,-7.59387013637905
2,90,-57,-7.7756551988272,-25.3336866937697,-7.70011145578547
2,90,-56,-7.8936149728569,-25.2122685011898,-7.81382954473954
2,90,-55,-8.01824255865792,-25.1475733880669,-7.93493599092798
2,90,-54,-8.14923015771447,-25.1394778706226,-8.06323917805009
2,90,-53,-8.28615495287131,-25.1881138553851,-8.19841567184082
2,90,-52,-8.4284563691609,-25.2936361074647,-8.33997844381343
2,90,-51,-8.57541284918595,-25.4558634918195,-8.48724235723281
2,90,-50,-8.72611923396739,-25.6737005570523,-8.63928772072715
2,90,-49,-8.87946622101753,-25.9441947363218,-8.79492326001324
2,90,-48,-9.03412379495115,-26.2610191792675,-8.95265060050327
2,90,-47,-9.18853095264222,-26.6121236303093,-9.11063330563946
2,90,-46,-9.34089440451463,-26.9763793711582,-9.26667464519177
2,90,-45,-9.4891991201277,-27.3195482627024,-9.4182094628972
2,90,-44,-9.63123346161071,-27.5913141354884,-9.56231654456717
2,90,-43,-9.76463106055754,-27.7275225452208,-9.69575838131506
2,90,-42,-9.88693041537111,-27.6629623406028,-9.81505466776534
2,90,-41,-9.99565137355301,-27.3544661728115,-9.91659371422045
2,90,-40,-10.0883853264091,-26.8012231104404,-9.99678177636973
2,90,-39,-10.162893394696,-26.0450150930425,-10.0522241543299
2,90,-38,-10.2172046340906,-25.1501522515227,-10.0799245723739
2,90,-37,-10.249704956559,-24.180253885286,-10.0774824768092
2,90,-36,-10.2592075907209,-23.1852225560414,-10.0432637192858
2,90,-35,-10.2449977409047,-22.1988389739373,-9.97652068114791
2,90,-34,-10.2068474458418,-21.2416679672556,-9.87744410845939
2,90,-33,-10.1450008161726,-20.3250802726918,-9.74713973906849
2,90,-32,-10.0601338947717,-19.4546119138162,-9.58753541233049
2,90,-31,-9.95329640950294,-18.6323132355287,-9.40123523107134
2,90,-30,-9.82584407400658,-17.8582562721108,-9.19134368736662
2,90,-29,-9.67936972788531,-17.1314572393902,-8.96128342991721
2,90,-28,-9.51563984428896,-16.4504241059236,-8.71462639565868
2,90,-27,-9.33654040354556,-15.8134733636883,-8.45495139341253
2,90,-26,-9.14403351835577,-15.2189078039442,-8.18573413639428
2,90,-25,-8.94012403993729,-14.6651117435283,-7.91026981369566
2,90,-24,-8.72683397726536,-14.1505978235899,-7.63162434060138
2,90,-23,-8.50618198210031,-13.6740258460888,-7.35260845678645
2,90,-22,-8.2801652650765,-13.2342058730809,-7.07576842926459
2,90,-21,-8.05074188554889,-12.8300928646525,-6.80338769811183
2,90,-20,-7.81981215021694,-12.4607771582658,-6.53749486594782
2,90,-19,-7.58919864808427,-12.1254733015383,-6.27987460681114
2,90,-18,-7.36062509460594,-11.8235086678354,-6.03207913703093
